scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	115.00032401365905	300.00042324318895
1	1	114.99820618337164	440.0009095878593
1	2	164.9999885602805	110.0003350770423
1	3	165.00028500683308	520.000541970118
1	4	387.4998188194885	94.99997100313664

2	0	130.00148714528532	300.0010266928738
2	1	129.99434673670495	430.00290243062784
2	2	180.00144093640154	120.00021122170287
2	3	180.0007392140516	520.0016538445407
2	4	387.49877857682714	110.00056756490123

3	0	145.00330549105752	300.0005823941371
3	1	144.99101478133443	420.0049231496176
3	2	195.00520824923427	129.99956994554861
3	3	195.00062273336155	520.0018854826714
3	4	387.49723211599303	125.00162315354865

4	0	160.00457822479834	299.99943393123806
4	1	159.98872366247815	410.0075642472742
4	2	210.01008062863508	139.99843632188953
4	3	210.00027966820724	520.0023833652078
4	4	387.49549286687034	140.0023133535923

5	0	175.00422475880777	299.99785726966167
5	1	174.98673370548343	400.0110284903415
5	2	225.0158648806983	149.99602939297944
5	3	225.0010492779494	520.0043399225117
5	4	387.4934195751348	155.0025266282035

6	0	190.00360249538082	299.99526856115637
6	1	189.98545794603464	390.0147555382808
6	2	240.02223187496597	159.99296192978736
6	3	240.0028967366268	520.0062169084846
6	4	387.49127289801703	170.00347029428363

7	0	205.00370298888484	299.9918272163046
7	1	204.9858235145172	380.0179890568889
7	2	255.0280142471071	169.9896798163354
7	3	255.00437269611925	520.0072525029994
7	4	387.4885018231928	185.00475059804853

8	0	220.0039829700892	299.9879378806507
8	1	219.98696408882617	370.01980093889796
8	2	270.0323953061747	179.98610833920472
8	3	270.004764458601	520.0066616920523
8	4	387.4849129152961	200.0048507372848

9	0	235.00396650635793	299.9835245324498
9	1	234.98795490927748	360.0210274878072
9	2	285.03567211063074	189.98210881985196
9	3	285.00547861707	520.0045782782917
9	4	387.48119823249795	215.00516784705607

10	0	250.0025734802074	299.9783836895682
10	1	249.9888805525538	350.0224504982056
10	2	300.0385159177636	199.9777300405253
10	3	300.00688423421275	520.0021747954758
10	4	387.4775490585181	230.00597233582636

11	0	265.0005759013107	299.9724690992906
11	1	264.9891717457918	340.02413623386684
11	2	315.0407167120524	209.973299933106
11	3	315.0077034947151	520.0000036023808
11	4	387.4736154707551	245.00624785072523

12	0	279.9983437501466	299.9656324686499
12	1	279.98930703770844	330.0256464656272
12	2	330.04287534632135	219.96972536094984
12	3	330.00738210337875	519.9975033851929
12	4	387.4691732208822	260.0066744371739

13	0	294.99548165450426	299.95875326785114
13	1	294.98916043592106	320.0257857939034
13	2	345.04521665939694	229.9660873273937
